symbol,base_currency,base_currency_desc,close,24h_close_change|5,market_cap_calc
CRYPTO:ALTLUSD,ALT,AltLayer,0.039539,2.6906994260187393,129432925.07529718
CRYPTO:ALTBUSD,ALTB,Altbase,7.4216e-05,0.44935303990037917,69391.95999999999
CRYPTO:ALUUSD,ALU,Altura,0.036459,-0.04667508648619824,36094410
CRYPTO:ALVAUSD,ALVA,Alvara Protocol,0.10532,-9.76696367374915,6302467.892696214
CRYPTO:ALYUSD,ALY,ALLY,0.00011022,3.912510606203443,253506
CRYPTO:AMUSD,AM,Aston Martin Cognizant Fan Token,0.23699,4.198909602532537,657256.92747
CRYPTO:AMAZINGTEAMUSD,AMAZINGTEAM,AmazingTeamDAO,1.1469,0.9417356099278235,1720350
CRYPTO:AMBUSD,AMB,AirDAO,0.00021414,-0.3487723214285673,1129100.4740834401
CRYPTO:AMCAIUSD,AMC,AI Meta Club,1.5275,5.714880911047847,4918550
CRYPTO:AMEUSD,AME,AME Chain,0.00096945,3.769949584149511,484725
CRYPTO:AMIAUSD,AMI,Amnis Finance,0.073331,-1.9429289687633848,6038272.411382624
CRYPTO:AMOAUSD,AMO,Amino,3.7968e-06,-0.28648776513260393,189840
CRYPTO:AMOUSD,AMO,AMO Coin,0.00067565,-3.356925898332277,14323780
CRYPTO:AMP2USD,AMP,Amp,0.004381,-1.9514815146361102,369018541.8742236
CRYPTO:AMPLUSD,AMPL,Ampleforth,1.2459,4.42544631631883,35227191.57624
CRYPTO:AMUUSD,AMU,Amulet,0.00051897,-13.354218393294568,229348.87813506
CRYPTO:ANALOSUSD,ANALOS,analoS,1.0099e-05,-5.634460848439551,828928.1239552649
CRYPTO:ANCHUSD,ANC,Anchor Protocol,0.0074191,2.616910330709963,2599518.0005701333
CRYPTO:ANDRUSD,ANDR,Andromeda,0.0092615,-1.8055938421086108,239556.94949650002
CRYPTO:ANDYOUSD,ANDY,Andy on SOL,0.00040538,0.0617085873670128,383578.6693604498
CRYPTO:ANDY6USD,ANDY,Andy,6.1567e-06,-0.8934033031776139,61567
CRYPTO:ANDYBSUSD,ANDY,Andy BSC,5.9997e-09,30.402747288573988,599970
CRYPTO:ANDY2USD,ANDY,ANDY (ETH),8.6731e-05,1.1192594233482072,86731000
CRYPTO:ANDY3USD,ANDY,Andy (Base),0.0061637,0.21950505674613008,6163700
CRYPTO:ANEXUSD,ANEX,AstroNexus,0.22114,-0.8518651362984152,110570
CRYPTO:ANGLEUSD,ANGLE,Angle,0.014729,1.9096381374109195,194980.74924900001
CRYPTO:ANIMECUSD,ANIME,Animecoin,0.022585,10.456813068570876,125089386.15576
CRYPTO:ANKRUSD,ANKR,Ankr,0.021131,-1.2665326914988102,211310000
CRYPTO:ANLOGUSD,ANLOG,Analog,0.0022019,8.902517434096643,4089125.1542638
CRYPTO:ANMLUSD,ANML,Animal Concerts,3.0078e-05,-1.981359577657558,6767.55
CRYPTO:ANONHUSD,ANON,Hey Anon,7.2002,-7.575893716706237,95551831.33356842
CRYPTO:ANON2USD,ANON,Anon,0.0014283,-2.0437555723201406,1190757.6282275459
CRYPTO:ANTAUSD,ANT,Autonomi,0.089091,-6.181147972617181,4536959.175
CRYPTO:ANYONEUSD,ANYONE,ANyONe Protocol,0.57497,-3.0584545868388737,56059555.18677327
CRYPTO:AOUSD,AO,AO,15.419,-4.307081238751313,54212096.45323
CRYPTO:AOGUSD,AOG,AgeOfGods,0.0014699,1.4914037146999843,152097.0631871
CRYPTO:AP3XUSD,AP3X,Apex Fusion,0.19489,-4.445200155460547,116934000
CRYPTO:APEUSD,APE,ApeCoin,0.67263,0.3835591904961006,506255988.53444993
CRYPTO:APEDUSD,APED,APED,0.47043,-4.430765480253534,458430.74199
CRYPTO:APEPEAUSD,APEPE,Ape and Pepe,1.4989e-06,-0.3920786815523671,314769000
CRYPTO:APES2USD,APES,APES,5.5997e-05,-11.67249077848961,55996.716823171
CRYPTO:APEXUSD,APEX,ApeX Protocol,0.57732,-11.939820254207554,53573774.761800006
CRYPTO:APFCUSD,APFC,APF coin,0.67633,0.25942067656912887,118329606.55604
CRYPTO:API3USD,API3,API3,0.90346,-1.9754184611045482,78078800.24388
CRYPTO:APMUSD,APM,apM Coin,0.003096,-7.05772867821441,4707159.39072
CRYPTO:APNUSD,APN,Apron Network,0.00027829,1.510122195878158,26020.114999999998
CRYPTO:APPMUSD,APP,Moon App,0.0044978,-3.8088924057400817,5127513.476995
CRYPTO:APPLEUSD,APPLE,AppleSwap,1.2e-15,0,1.2
CRYPTO:APRSUSD,APRS,Apeiron,0.013009,1.142901570517801,1320569.3479801095
CRYPTO:APTOUSD,APT,Aptos,5.8052,-1.3762169325653621,3667495431.033707
CRYPTO:APTMUSD,APTM,Apertum,1.2979,-5.662160197703145,5060884.5973000005
CRYPTO:APTRUSD,APTR,Aperture Finance,0.0014502,-8.47585989271063,131823.18
CRYPTO:APUAPUSD,APU,Apu Apustaja,0.00027246,-3.374211384419084,92062097.26692422
CRYPTO:APXUSD,APX,APX,0.056732,-1.5770024808729899,33782452.819122694
CRYPTO:APXAPUSD,APX,ApexToken,0.030008,-4.904010644364181,1162744.552552
