symbol,name,close,change,volume,market_cap_basic
OTC:ADFS,ADFS,0.0001,0,163881,9341.749600000001
OTC:ADGL,ADGL,1e-06,0,23200,38.254999999999995
NASDAQ:ADGM,ADGM,1.46,5.035971223021588,163099,22457086
OTC:ADGO,ADGO,1e-06,0,10018,16761.000000000004
OTC:ADHC,ADHC,0.0014,0,12217928,1240565
OTC:ADHI,ADHI,0.0835,85.55555555555557,10515,784920
NASDAQ:ADI,ADI,207.51,2.332577177236409,3537650,102920074762
OTC:ADIA,ADIA,0.07,-17.64705882352941,21450,
NASDAQ:ADIL,ADIL,0.6012,-3.032258064516135,169397,3952642
AMEX:ADIV,ADIV,15.845,0.5718855721077342,875,
OTC:ADLRF,ADLRF,14.29,2.217453505007144,100,649010739.298387
NYSE:ADM,ADM,48.53,1.7400419287211704,3080014,23316238506
NASDAQ:ADMA,ADMA,19.98,-5.75471698113207,4143566,4769910264
CBOE:ADME,ADME,44.423,-0.26268522676245476,7015,
OTC:ADMLF,ADMLF,2.56,0.39215686274510714,14999,861628129.05848
OTC:ADMQ,ADMQ,0.0406,16.868163500287846,54629,6359468
OTC:ADMT,ADMT,0.0695,14.876033057851254,5044,4697399.9291338585
NASDAQ:ADN,ADN,2.8,-16.167664670658684,46549,7382222
NYSE:ADNT,ADNT,14.67,6.535947712418304,1993903,1232524111
OTC:ADOOY,ADOOY,5.87,0.6861063464837056,2195,3286841385.3515406
NASDAQ:ADP,ADP,307.72,0.2051515842261397,851726,124910552206
NASDAQ:ADPT,ADPT,9.03,-2.588996763754048,1151980,1371807919
AMEX:ADPV,ADPV,34.4947,0.01449708173745367,5283,
OTC:ADRNY,ADRNY,41.39,1.1485826001955006,42277,36712826224.12956
OTC:ADRZF,ADRZF,69.15,7.0267760408605575,109,6878213858.251829
OTC:ADRZY,ADRZY,13.7452,-2.547413945903785,201,6873029236.70388
NASDAQ:ADSE,ADSE,13.29,-0.3748125937031538,23390,728774271
NASDAQ:ADSK,ADSK,287.48,-0.738899247289547,906924,61504777072
OTC:ADSV,ADSV,0.0001,0,7000,41124
NYSE:ADT,ADT,8.33,0.36144578313252235,19442843,6512110139
OTC:ADTLF,ADTLF,2.58,3.200000000000003,1000,863987081.694477
NASDAQ:ADTN,ADTN,7.71,0,1182773,616507243
NASDAQ:ADTX,ADTX,1.73,1.764705882352943,100750,196106494
NASDAQ:ADUR,ADUR,6.27,2.7868852459016384,132093,183644008.29310346
NASDAQ:ADUS,ADUS,110.91,0.18970189701896453,146372,2040648619
NASDAQ:ADV,ADV,1.47,6.521739130434789,655971,475354216.00000006
NASDAQ:ADVB,ADVB,0.9489,-11.317757009345803,137959,20534196
AMEX:ADVE,ADVE,33.3479,0.20041344663054347,1526,
NASDAQ:ADVM,ADVM,2.81,-9.935897435897436,354095,58702516
OTC:ADVT,ADVT,1e-06,0,72995,978.4658999999999
OTC:ADWPF,ADWPF,3.2,0,5000,146201232.1758242
NYSE:ADX,ADX,19.27,-0.5162622612287114,245741,2290490010
NASDAQ:ADXN,ADXN,8.1,2.531645569620244,1417,12822198.37437
OTC:ADXS,ADXS,0.0401,33.666666666666664,665,1709599
OTC:ADYEY,ADYEY,17.81,1.2507106310403573,429596,55990214218.02868
OTC:ADYYF,ADYYF,1752,0.8899855748051405,15,55177763599.24729
OTC:ADZZF,ADZZF,1038.38,-9.774736613446281,3,2945244835.3197093
OTC:AEBZY,AEBZY,0.8,0,1945,2290205666.4841104
OTC:AECX,AECX,0.0375,-18.47826086956522,21106,
OTC:AEDC,AEDC,1e-06,0,5265,102.33099999999999
OTC:AEDFF,AEDFF,79.02,1.1747383246374823,124,3571201585.67379
NYSE:AEE,AEE,97.4,-0.2866502866502878,1295275,26325165287
AMEX:AEF,AEF,5.28,0.7633587786259549,75284,214375392
NYSE:AEFC,AEFC,20.33,0.29600394671928326,15531,
NYSE:AEG,AEG,6.71,1.3595166163141972,15613139,10433651500.782452
OTC:AEGOF,AEGOF,6.7062,2.8558282208589016,364396,10440032558.528141
OTC:AEGXF,AEGXF,13.01,-0.0768049155145913,739,817470462.1258973
OTC:AEGY,AEGY,1e-06,0,3428658,4111.795
